Time,X(CH1),
Second,Volt,
-6.0000000e+00,3.36000e-02,
-5.9899998e+00,3.92000e-02,
-5.9799995e+00,3.44000e-02,
-5.9699993e+00,3.92000e-02,
-5.9599991e+00,3.44000e-02,
-5.9499989e+00,4.00000e-02,
-5.9399986e+00,3.52000e-02,
-5.9299984e+00,4.16000e-02,
-5.9199982e+00,3.60000e-02,
-5.9099979e+00,4.16000e-02,
-5.8999977e+00,3.68000e-02,
-5.8899975e+00,4.24000e-02,
-5.8799973e+00,3.76000e-02,
-5.8699970e+00,4.24000e-02,
-5.8599968e+00,3.92000e-02,
-5.8499966e+00,4.32000e-02,
-5.8399963e+00,3.92000e-02,
-5.8299961e+00,4.40000e-02,
-5.8199959e+00,4.48000e-02,
-5.8099957e+00,4.00000e-02,
-5.7999954e+00,4.08000e-02,
-5.7899952e+00,4.56000e-02,
-5.7799950e+00,4.16000e-02,
-5.7699947e+00,4.64000e-02,
-5.7599945e+00,4.24000e-02,
-5.7499943e+00,4.72000e-02,
-5.7399940e+00,4.24000e-02,
-5.7299938e+00,4.80000e-02,
-5.7199936e+00,4.32000e-02,
-5.7099934e+00,4.88000e-02,
-5.6999931e+00,4.48000e-02,
-5.6899929e+00,4.96000e-02,
-5.6799927e+00,4.48000e-02,
-5.6699924e+00,5.04000e-02,
-5.6599922e+00,4.56000e-02,
-5.6499920e+00,5.12000e-02,
-5.6399918e+00,5.12000e-02,
-5.6299915e+00,4.64000e-02,
-5.6199913e+00,4.72000e-02,
-5.6099911e+00,5.20000e-02,
-5.5999908e+00,4.88000e-02,
-5.5899906e+00,5.36000e-02,
-5.5799904e+00,4.88000e-02,
-5.5699902e+00,5.44000e-02,
-5.5599899e+00,5.04000e-02,
-5.5499897e+00,5.52000e-02,
-5.5399895e+00,5.12000e-02,
-5.5299892e+00,5.60000e-02,
-5.5199890e+00,5.20000e-02,
-5.5099888e+00,5.68000e-02,
-5.4999886e+00,5.28000e-02,
-5.4899883e+00,5.76000e-02,
-5.4799881e+00,5.76000e-02,
-5.4699879e+00,5.36000e-02,
-5.4599876e+00,5.44000e-02,
-5.4499874e+00,5.84000e-02,
-5.4399872e+00,5.52000e-02,
-5.4299870e+00,6.00000e-02,
-5.4199867e+00,5.52000e-02,
-5.4099865e+00,6.08000e-02,
-5.3999863e+00,5.68000e-02,
-5.3899860e+00,6.16000e-02,
-5.3799858e+00,5.76000e-02,
-5.3699856e+00,6.24000e-02,
-5.3599854e+00,6.24000e-02,
-5.3499851e+00,5.84000e-02,
-5.3399849e+00,5.84000e-02,
-5.3299847e+00,6.40000e-02,
-5.3199844e+00,6.00000e-02,
-5.3099842e+00,6.40000e-02,
-5.2999840e+00,6.08000e-02,
-5.2899837e+00,6.48000e-02,
-5.2799835e+00,6.56000e-02,
-5.2699833e+00,6.08000e-02,
-5.2599831e+00,6.16000e-02,
-5.2499828e+00,6.64000e-02,
-5.2399826e+00,6.72000e-02,
-5.2299824e+00,6.24000e-02,
-5.2199821e+00,6.72000e-02,
-5.2099819e+00,6.40000e-02,
-5.1999817e+00,6.40000e-02,
-5.1899815e+00,6.88000e-02,
-5.1799812e+00,6.48000e-02,
-5.1699810e+00,6.88000e-02,
-5.1599808e+00,6.56000e-02,
-5.1499805e+00,7.04000e-02,
-5.1399803e+00,7.04000e-02,
-5.1299801e+00,6.56000e-02,
-5.1199799e+00,6.72000e-02,
-5.1099796e+00,7.20000e-02,
-5.0999794e+00,6.80000e-02,
-5.0899792e+00,7.20000e-02,
-5.0799789e+00,6.88000e-02,
-5.0699787e+00,7.36000e-02,
-5.0599785e+00,6.88000e-02,
-5.0499783e+00,7.36000e-02,
-5.0399780e+00,6.96000e-02,
-5.0299778e+00,7.44000e-02,
-5.0199776e+00,7.44000e-02,
-5.0099773e+00,7.04000e-02,
-4.9999771e+00,7.12000e-02,
-4.9899769e+00,7.52000e-02,
-4.9799767e+00,7.60000e-02,
-4.9699764e+00,7.12000e-02,
-4.9599762e+00,7.68000e-02,
-4.9499760e+00,7.28000e-02,
-4.9399757e+00,7.28000e-02,
-4.9299755e+00,7.76000e-02,
-4.9199753e+00,7.76000e-02,
-4.9099751e+00,7.36000e-02,
-4.8999748e+00,7.36000e-02,
-4.8899746e+00,7.84000e-02,
-4.8799744e+00,7.44000e-02,
-4.8699741e+00,7.92000e-02,
-4.8599739e+00,7.44000e-02,
-4.8499737e+00,8.00000e-02,
-4.8399734e+00,7.52000e-02,
-4.8299732e+00,8.00000e-02,
-4.8199730e+00,7.68000e-02,
-4.8099728e+00,8.08000e-02,
-4.7999725e+00,7.68000e-02,
-4.7899723e+00,8.08000e-02,
-4.7799721e+00,8.16000e-02,
-4.7699718e+00,7.68000e-02,
-4.7599716e+00,7.76000e-02,
-4.7499714e+00,8.16000e-02,
-4.7399712e+00,7.84000e-02,
-4.7299709e+00,8.24000e-02,
-4.7199707e+00,7.84000e-02,
-4.7099705e+00,8.32000e-02,
-4.6999702e+00,8.32000e-02,
-4.6899700e+00,7.92000e-02,
-4.6799698e+00,8.32000e-02,
-4.6699696e+00,2.80000e-02,
-4.6599693e+00,2.48000e-02,
-4.6499691e+00,6.40000e-03,
-4.6399689e+00,1.04000e-02,
-4.6299686e+00,6.40000e-03,
-4.6199684e+00,1.04000e-02,
-4.6099682e+00,6.40000e-03,
-4.5999680e+00,1.04000e-02,
-4.5899677e+00,5.60001e-03,
-4.5799675e+00,1.12000e-02,
-4.5699673e+00,6.40000e-03,
-4.5599670e+00,6.40000e-03,
-4.5499668e+00,1.12000e-02,
-4.5399666e+00,1.12000e-02,
-4.5299664e+00,5.60001e-03,
-4.5199661e+00,1.04000e-02,
-4.5099659e+00,6.40000e-03,
-4.4999657e+00,1.04000e-02,
-4.4899654e+00,6.40000e-03,
-4.4799652e+00,1.04000e-02,
-4.4699650e+00,6.40000e-03,
-4.4599648e+00,1.04000e-02,
-4.4499645e+00,6.40000e-03,
-4.4399643e+00,1.04000e-02,
-4.4299641e+00,6.40000e-03,
-4.4199638e+00,1.04000e-02,
-4.4099636e+00,6.40000e-03,
-4.3999634e+00,1.04000e-02,
-4.3899632e+00,6.40000e-03,
-4.3799629e+00,1.04000e-02,
-4.3699627e+00,6.40000e-03,
-4.3599625e+00,1.04000e-02,
-4.3499622e+00,6.40000e-03,
-4.3399620e+00,1.12000e-02,
-4.3299618e+00,5.60001e-03,
-4.3199615e+00,1.12000e-02,
-4.3099613e+00,6.40000e-03,
-4.2999611e+00,1.04000e-02,
-4.2899609e+00,6.40000e-03,
-4.2799606e+00,1.04000e-02,
-4.2699604e+00,6.40000e-03,
-4.2599602e+00,6.40000e-03,
-4.2499599e+00,1.12000e-02,
-4.2399597e+00,1.04000e-02,
-4.2299595e+00,5.60001e-03,
-4.2199593e+00,6.40000e-03,
-4.2099590e+00,1.12000e-02,
-4.1999588e+00,6.40000e-03,
-4.1899586e+00,1.12000e-02,
-4.1799583e+00,1.12000e-02,
-4.1699581e+00,6.40000e-03,
-4.1599579e+00,1.12000e-02,
-4.1499577e+00,6.40000e-03,
-4.1399574e+00,6.40000e-03,
-4.1299572e+00,1.12000e-02,
-4.1199570e+00,1.04000e-02,
-4.1099567e+00,6.40000e-03,
-4.0999565e+00,1.04000e-02,
-4.0899563e+00,6.40000e-03,
-4.0799561e+00,6.40000e-03,
-4.0699558e+00,1.12000e-02,
-4.0599556e+00,1.12000e-02,
-4.0499554e+00,6.40000e-03,
-4.0399551e+00,6.40000e-03,
-4.0299549e+00,1.12000e-02,
-4.0199547e+00,1.12000e-02,
-4.0099545e+00,6.40000e-03,
-3.9999545e+00,1.12000e-02,
-3.9899545e+00,6.40000e-03,
-3.9799545e+00,1.12000e-02,
-3.9699545e+00,6.40000e-03,
-3.9599545e+00,6.40000e-03,
-3.9499545e+00,1.12000e-02,
-3.9399545e+00,1.20000e-02,
-3.9299545e+00,6.40000e-03,
-3.9199545e+00,1.12000e-02,
-3.9099545e+00,6.40000e-03,
-3.8999546e+00,1.20000e-02,
-3.8899546e+00,6.40000e-03,
-3.8799546e+00,1.20000e-02,
-3.8699546e+00,6.40000e-03,
-3.8599546e+00,1.20000e-02,
-3.8499546e+00,6.40000e-03,
-3.8399546e+00,1.20000e-02,
-3.8299546e+00,6.40000e-03,
-3.8199546e+00,1.20000e-02,
-3.8099546e+00,7.20000e-03,
-3.7999547e+00,1.20000e-02,
-3.7899547e+00,6.40000e-03,
-3.7799547e+00,1.20000e-02,
-3.7699547e+00,7.20000e-03,
-3.7599547e+00,1.20000e-02,
-3.7499547e+00,8.00000e-03,
-3.7399547e+00,1.20000e-02,
-3.7299547e+00,7.20000e-03,
-3.7199547e+00,1.20000e-02,
-3.7099547e+00,8.00000e-03,
-3.6999547e+00,1.20000e-02,
-3.6899548e+00,7.20000e-03,
-3.6799548e+00,1.20000e-02,
-3.6699548e+00,7.20000e-03,
-3.6599548e+00,1.20000e-02,
-3.6499548e+00,8.00000e-03,
-3.6399548e+00,8.00000e-03,
-3.6299548e+00,1.28000e-02,
-3.6199548e+00,1.20000e-02,
-3.6099548e+00,8.00000e-03,
-3.5999548e+00,1.20000e-02,
-3.5899549e+00,8.80000e-03,
-3.5799549e+00,8.80000e-03,
-3.5699549e+00,1.28000e-02,
-3.5599549e+00,1.20000e-02,
-3.5499549e+00,8.00000e-03,
-3.5399549e+00,1.28000e-02,
-3.5299549e+00,8.00000e-03,
-3.5199549e+00,1.28000e-02,
-3.5099549e+00,8.80000e-03,
-3.4999549e+00,1.28000e-02,
-3.4899549e+00,8.80000e-03,
-3.4799550e+00,1.28000e-02,
-3.4699550e+00,8.80000e-03,
-3.4599550e+00,8.80000e-03,
-3.4499550e+00,1.36000e-02,
-3.4399550e+00,1.28000e-02,
-3.4299550e+00,8.80000e-03,
-3.4199550e+00,1.28000e-02,
-3.4099550e+00,8.80000e-03,
-3.3999550e+00,1.28000e-02,
-3.3899550e+00,8.80000e-03,
-3.3799551e+00,1.28000e-02,
-3.3699551e+00,8.80000e-03,
-3.3599551e+00,1.28000e-02,
-3.3499551e+00,8.80000e-03,
-3.3399551e+00,1.36000e-02,
-3.3299551e+00,8.80000e-03,
-3.3199551e+00,1.36000e-02,
-3.3099551e+00,8.80000e-03,
-3.2999551e+00,1.36000e-02,
-3.2899551e+00,9.60000e-03,
-3.2799551e+00,1.36000e-02,
-3.2699552e+00,9.60000e-03,
-3.2599552e+00,9.60000e-03,
-3.2499552e+00,1.44000e-02,
-3.2399552e+00,1.36000e-02,
-3.2299552e+00,9.60000e-03,
-3.2199552e+00,1.36000e-02,
-3.2099552e+00,9.60000e-03,
-3.1999552e+00,9.60000e-03,
-3.1899552e+00,1.52000e-02,
-3.1799552e+00,1.04000e-02,
-3.1699553e+00,1.44000e-02,
-3.1599553e+00,1.04000e-02,
-3.1499553e+00,1.44000e-02,
-3.1399553e+00,1.52000e-02,
-3.1299553e+00,1.04000e-02,
-3.1199553e+00,1.04000e-02,
-3.1099553e+00,1.52000e-02,
-3.0999553e+00,1.52000e-02,
-3.0899553e+00,1.04000e-02,
-3.0799553e+00,1.52000e-02,
-3.0699553e+00,1.12000e-02,
-3.0599554e+00,1.52000e-02,
-3.0499554e+00,1.12000e-02,
-3.0399554e+00,1.52000e-02,
-3.0299554e+00,1.12000e-02,
-3.0199554e+00,1.12000e-02,
-3.0099554e+00,1.60000e-02,
-2.9999554e+00,1.60000e-02,
-2.9899554e+00,1.20000e-02,
-2.9799554e+00,1.60000e-02,
-2.9699554e+00,1.20000e-02,
-2.9599555e+00,1.60000e-02,
-2.9499555e+00,1.20000e-02,
-2.9399555e+00,1.60000e-02,
-2.9299555e+00,1.20000e-02,
-2.9199555e+00,1.68000e-02,
-2.9099555e+00,1.28000e-02,
-2.8999555e+00,1.68000e-02,
-2.8899555e+00,1.28000e-02,
-2.8799555e+00,1.68000e-02,
-2.8699555e+00,1.28000e-02,
-2.8599555e+00,1.68000e-02,
-2.8499556e+00,1.28000e-02,
-2.8399556e+00,1.28000e-02,
-2.8299556e+00,1.76000e-02,
-2.8199556e+00,1.36000e-02,
-2.8099556e+00,1.84000e-02,
-2.7999556e+00,1.36000e-02,
-2.7899556e+00,1.84000e-02,
-2.7799556e+00,1.44000e-02,
-2.7699556e+00,1.92000e-02,
-2.7599556e+00,1.92000e-02,
-2.7499557e+00,1.44000e-02,
-2.7399557e+00,1.52000e-02,
-2.7299557e+00,1.92000e-02,
-2.7199557e+00,1.92000e-02,
-2.7099557e+00,1.52000e-02,
-2.6999557e+00,1.92000e-02,
-2.6899557e+00,1.52000e-02,
-2.6799557e+00,1.92000e-02,
-2.6699557e+00,1.52000e-02,
-2.6599557e+00,2.00000e-02,
-2.6499557e+00,1.60000e-02,
-2.6399558e+00,2.00000e-02,
-2.6299558e+00,1.60000e-02,
-2.6199558e+00,2.00000e-02,
-2.6099558e+00,1.60000e-02,
-2.5999558e+00,1.60000e-02,
-2.5899558e+00,2.16000e-02,
-2.5799558e+00,1.68000e-02,
-2.5699558e+00,2.16000e-02,
-2.5599558e+00,2.16000e-02,
-2.5499558e+00,1.68000e-02,
-2.5399559e+00,2.16000e-02,
-2.5299559e+00,1.84000e-02,
-2.5199559e+00,1.76000e-02,
-2.5099559e+00,2.24000e-02,
-2.4999559e+00,2.24000e-02,
-2.4899559e+00,1.84000e-02,
-2.4799559e+00,2.24000e-02,
-2.4699559e+00,1.84000e-02,
-2.4599559e+00,2.32000e-02,
-2.4499559e+00,1.92000e-02,
-2.4399559e+00,2.40000e-02,
-2.4299560e+00,1.92000e-02,
-2.4199560e+00,2.48000e-02,
-2.4099560e+00,1.92000e-02,
-2.3999560e+00,2.48000e-02,
-2.3899560e+00,2.00000e-02,
-2.3799560e+00,2.48000e-02,
-2.3699560e+00,2.00000e-02,
-2.3599560e+00,2.16000e-02,
-2.3499560e+00,2.56000e-02,
-2.3399560e+00,2.56000e-02,
-2.3299561e+00,2.16000e-02,
-2.3199561e+00,2.64000e-02,
-2.3099561e+00,2.16000e-02,
-2.2999561e+00,2.24000e-02,
-2.2899561e+00,2.72000e-02,
-2.2799561e+00,2.72000e-02,
-2.2699561e+00,2.24000e-02,
-2.2599561e+00,2.80000e-02,
-2.2499561e+00,2.32000e-02,
-2.2399561e+00,2.80000e-02,
-2.2299562e+00,2.40000e-02,
-2.2199562e+00,2.88000e-02,
-2.2099562e+00,2.48000e-02,
-2.1999562e+00,2.48000e-02,
-2.1899562e+00,2.96000e-02,
-2.1799562e+00,2.96000e-02,
-2.1699562e+00,2.48000e-02,
-2.1599562e+00,3.04000e-02,
-2.1499562e+00,2.56000e-02,
-2.1399562e+00,3.04000e-02,
-2.1299562e+00,2.64000e-02,
-2.1199563e+00,3.12000e-02,
-2.1099563e+00,2.64000e-02,
-2.0999563e+00,3.12000e-02,
-2.0899563e+00,2.80000e-02,
-2.0799563e+00,3.20000e-02,
-2.0699563e+00,2.80000e-02,
-2.0599563e+00,2.88000e-02,
-2.0499563e+00,3.28000e-02,
-2.0399563e+00,3.28000e-02,
-2.0299563e+00,2.88000e-02,
-2.0199564e+00,3.44000e-02,
-2.0099564e+00,2.96000e-02,
-1.9999564e+00,3.44000e-02,
-1.9899564e+00,3.04000e-02,
-1.9799564e+00,3.04000e-02,
-1.9699564e+00,3.52000e-02,
-1.9599564e+00,3.12000e-02,
-1.9499564e+00,3.60000e-02,
-1.9399564e+00,3.20000e-02,
-1.9299564e+00,3.76000e-02,
-1.9199564e+00,3.76000e-02,
-1.9099565e+00,3.28000e-02,
-1.8999565e+00,3.44000e-02,
-1.8899565e+00,3.92000e-02,
-1.8799565e+00,3.92000e-02,
-1.8699565e+00,3.44000e-02,
-1.8599565e+00,3.52000e-02,
-1.8499565e+00,4.00000e-02,
-1.8399565e+00,3.52000e-02,
-1.8299565e+00,4.16000e-02,
-1.8199565e+00,4.16000e-02,
-1.8099566e+00,3.60000e-02,
-1.7999566e+00,3.76000e-02,
-1.7899566e+00,4.24000e-02,
-1.7799566e+00,4.24000e-02,
-1.7699566e+00,3.76000e-02,
-1.7599566e+00,4.32000e-02,
-1.7499566e+00,3.92000e-02,
-1.7399566e+00,3.92000e-02,
-1.7299566e+00,4.48000e-02,
-1.7199566e+00,4.48000e-02,
-1.7099566e+00,4.00000e-02,
-1.6999567e+00,4.56000e-02,
-1.6899567e+00,4.16000e-02,
-1.6799567e+00,4.16000e-02,
-1.6699567e+00,4.64000e-02,
-1.6599567e+00,4.24000e-02,
-1.6499567e+00,4.80000e-02,
-1.6399567e+00,4.80000e-02,
-1.6299567e+00,4.32000e-02,
-1.6199567e+00,4.48000e-02,
-1.6099567e+00,4.88000e-02,
-1.5999568e+00,4.48000e-02,
-1.5899568e+00,4.96000e-02,
-1.5799568e+00,4.96000e-02,
-1.5699568e+00,4.56000e-02,
-1.5599568e+00,5.12000e-02,
-1.5499568e+00,4.64000e-02,
-1.5399568e+00,4.80000e-02,
-1.5299568e+00,5.20000e-02,
-1.5199568e+00,4.88000e-02,
-1.5099568e+00,5.28000e-02,
-1.4999568e+00,5.44000e-02,
-1.4899569e+00,4.96000e-02,
-1.4799569e+00,5.44000e-02,
-1.4699569e+00,4.96000e-02,
-1.4599569e+00,5.12000e-02,
-1.4499569e+00,5.52000e-02,
-1.4399569e+00,5.20000e-02,
-1.4299569e+00,5.60000e-02,
-1.4199569e+00,5.68000e-02,
-1.4099569e+00,5.20000e-02,
-1.3999569e+00,5.76000e-02,
-1.3899570e+00,5.28000e-02,
-1.3799570e+00,5.76000e-02,
-1.3699570e+00,5.44000e-02,
-1.3599570e+00,5.84000e-02,
-1.3499570e+00,5.44000e-02,
-1.3399570e+00,5.52000e-02,
-1.3299570e+00,6.00000e-02,
-1.3199570e+00,6.08000e-02,
-1.3099570e+00,5.60000e-02,
-1.2999570e+00,5.76000e-02,
-1.2899570e+00,6.16000e-02,
-1.2799571e+00,5.76000e-02,
-1.2699571e+00,6.24000e-02,
-1.2599571e+00,5.84000e-02,
-1.2499571e+00,6.32000e-02,
-1.2399571e+00,6.32000e-02,
-1.2299571e+00,5.84000e-02,
-1.2199571e+00,6.40000e-02,
-1.2099571e+00,5.92000e-02,
-1.1999571e+00,6.48000e-02,
-1.1899571e+00,6.08000e-02,
-1.1799572e+00,6.08000e-02,
-1.1699572e+00,6.56000e-02,
-1.1599572e+00,6.16000e-02,
-1.1499572e+00,6.72000e-02,
-1.1399572e+00,6.32000e-02,
-1.1299572e+00,6.80000e-02,
-1.1199572e+00,6.80000e-02,
-1.1099572e+00,6.40000e-02,
-1.0999572e+00,6.88000e-02,
-1.0899572e+00,6.48000e-02,
-1.0799572e+00,6.48000e-02,
-1.0699573e+00,7.04000e-02,
-1.0599573e+00,6.64000e-02,
-1.0499573e+00,7.12000e-02,
-1.0399573e+00,7.12000e-02,
-1.0299573e+00,6.72000e-02,
-1.0199573e+00,7.12000e-02,
-1.0099573e+00,6.72000e-02,
-9.9995732e-01,6.80000e-02,
-9.8995733e-01,7.28000e-02,
-9.7995734e-01,6.80000e-02,
-9.6995735e-01,7.36000e-02,
-9.5995736e-01,6.96000e-02,
-9.4995737e-01,7.44000e-02,
-9.3995738e-01,7.44000e-02,
-9.2995739e-01,7.04000e-02,
-9.1995740e-01,7.52000e-02,
-9.0995741e-01,7.12000e-02,
-8.9995742e-01,7.20000e-02,
-8.8995743e-01,7.60000e-02,
-8.7995744e-01,7.68000e-02,
-8.6995745e-01,7.20000e-02,
-8.5995746e-01,7.68000e-02,
-8.4995747e-01,7.36000e-02,
-8.3995748e-01,7.76000e-02,
-8.2995749e-01,7.36000e-02,
-8.1995749e-01,7.76000e-02,
-8.0995750e-01,7.36000e-02,
-7.9995751e-01,7.44000e-02,
-7.8995752e-01,7.92000e-02,
-7.7995753e-01,7.44000e-02,
-7.6995754e-01,8.00000e-02,
-7.5995755e-01,8.00000e-02,
-7.4995756e-01,7.60000e-02,
-7.3995757e-01,8.08000e-02,
-7.2995758e-01,7.68000e-02,
-7.1995759e-01,7.68000e-02,
-7.0995760e-01,8.16000e-02,
-6.9995761e-01,8.16000e-02,
-6.8995762e-01,7.68000e-02,
-6.7995763e-01,7.76000e-02,
-6.6995764e-01,8.24000e-02,
-6.5995765e-01,7.76000e-02,
-6.4995766e-01,8.24000e-02,
-6.3995767e-01,7.84000e-02,
-6.2995768e-01,8.32000e-02,
-6.1995769e-01,8.32000e-02,
-6.0995770e-01,7.92000e-02,
-5.9995770e-01,8.40000e-02,
-5.8995771e-01,8.00000e-02,
-5.7995772e-01,8.32000e-02,
-5.6995773e-01,1.04000e-02,
-5.5995774e-01,1.20000e-02,
-5.4995775e-01,6.40000e-03,
-5.3995776e-01,1.04000e-02,
-5.2995777e-01,6.40000e-03,
-5.1995778e-01,1.04000e-02,
-5.0995779e-01,5.60001e-03,
-4.9995780e-01,1.04000e-02,
-4.8995781e-01,5.60001e-03,
-4.7995782e-01,1.04000e-02,
-4.6995783e-01,6.40000e-03,
-4.5995784e-01,1.04000e-02,
-4.4995785e-01,6.40000e-03,
-4.3995786e-01,1.04000e-02,
-4.2995787e-01,6.40000e-03,
-4.1995788e-01,1.04000e-02,
-4.0995789e-01,6.40000e-03,
-3.9995790e-01,1.04000e-02,
-3.8995790e-01,6.40000e-03,
-3.7995791e-01,6.40000e-03,
-3.6995792e-01,1.12000e-02,
-3.5995793e-01,1.12000e-02,
-3.4995794e-01,6.40000e-03,
-3.3995795e-01,6.40000e-03,
-3.2995796e-01,1.12000e-02,
-3.1995797e-01,6.40000e-03,
-3.0995798e-01,1.12000e-02,
-2.9995799e-01,1.04000e-02,
-2.8995800e-01,6.40000e-03,
-2.7995801e-01,1.04000e-02,
-2.6995802e-01,6.40000e-03,
-2.5995803e-01,1.04000e-02,
-2.4995802e-01,6.40000e-03,
-2.3995802e-01,1.04000e-02,
-2.2995801e-01,6.40000e-03,
-2.1995801e-01,6.40000e-03,
-2.0995800e-01,1.12000e-02,
-1.9995800e-01,1.04000e-02,
-1.8995799e-01,6.40000e-03,
-1.7995799e-01,1.04000e-02,
-1.6995798e-01,6.40000e-03,
-1.5995798e-01,6.40000e-03,
-1.4995797e-01,1.12000e-02,
-1.3995796e-01,6.40000e-03,
-1.2995796e-01,1.12000e-02,
-1.1995796e-01,6.40000e-03,
-1.0995796e-01,1.12000e-02,
-9.9957965e-02,6.40000e-03,
-8.9957967e-02,1.12000e-02,
-7.9957969e-02,1.12000e-02,
-6.9957972e-02,6.40000e-03,
-5.9957974e-02,6.40000e-03,
-4.9957976e-02,1.12000e-02,
-3.9957978e-02,1.12000e-02,
-2.9957978e-02,6.40000e-03,
-1.9957978e-02,1.04000e-02,
-9.9579785e-03,9.92000e-02,
